2022-03-21 15:44:12.434098  method: stauff2, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-21 15:44:38.912637  method: stauff2, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-21 15:44:41.062667  method: stauff2, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-21 15:44:46.185369  method: stauff2, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-21 15:44:54.710817  method: stauff2, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-21 15:45:04.402866  method: stauff26_get, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-24 13:16:05.327140  method: stauff26_get, event: C:\Users\alex1c\sources\spacySt\StauffInvoices\92951828.pdf
2022-03-24 13:18:41.413640  method: func_get_test, event: {78: 'sometext'}
2022-03-24 13:20:23.536801  method: func_get_test, event: {78: 'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92951828.pdf'}
2022-03-24 13:22:28.621296  method: func_get_test, event: {78: 'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92951828.pdf'}
2022-03-24 13:22:30.309495  method: func_get_test, event: {78: 'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92951828.pdf'}
2022-03-24 13:22:33.214340  method: func_get_test, event: {78: 'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92951828.pdf'}
2022-03-24 13:22:41.888455  method: func_get_test, event: {78: 'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92951828.pdf00'}
2022-03-24 13:33:40.271147  method: stauff26_get, event: b'C:\\Users\\alex1c\\sources\\spacySt\\StauffInvoices\\92946891.pdf'
2022-03-24 14:34:01.675330  method: stauff2, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
